,Eigen-Patient
LY75,-619234.7469075882
LRRC45,71108.60532449884
PPAPDC1A,-101252.06945515779
PLCL2,-180022.1520390125
GPR68,-118046.99306863743
GTSE1,-1617.3703473623486
CENPO,40265.55564069683
SHCBP1,-32973.87950085517
TPX2,40963.21494897226
MTFP1,-6924.266612732389
LONRF1,-29321.50232513053
DLL4,-69932.66644664438
CCNB2,2654.7921244584
MMP19,-272786.853404857
RELT,-105102.41008117728
ACOT7,17242.051986445724
ALDH1A3,-633885.7628699074
AVPI1,-33353.63906625239
CHST3,-348455.8242365515
FAM173A,39585.64254465818
PPP1R14B,-324088.11735844245
CACNB3,266076.72568423185
PAFAH1B3,255100.8969212705
KIAA1109,365876.7269784587
DLGAP5,13145.461919553292
RMI2,36032.00885339107
MKI67,-25875.441557344675
ADAMTS14,-64163.22466879305
CENPL,4855.266935359364
MISP,327631.4666803744
OGFRL1,-334185.28815322014
BICC1,-364190.3700363149
PRC1,339339.808425204
FAM110A,103502.91897861082
LRRC8C,-418665.70542175224
MFAP2,-594093.4274302027
RASSF7,66641.33686994991
CDC45,13899.486161961782
FN1,-62987475.20269386
TIGD5,28215.22575833634
BUB1,-47728.07525395371
SMIM22,424860.77520038834
SUN2,-1111293.0313260085
ESCO2,19582.411423961647
ZNF132,5589.039039683264
CBX4,424769.4150451086
ENTPD7,-40574.91380913828
SMC4,75043.00620649039
FMNL2,-564828.4908182548
HN1,-21270.927006213133
FAT4,-205356.4951048041
NAT14,25670.54330937867
OLR1,-328385.1752000051
AK4,-108044.6053441677
POLQ,16509.8824035527
DEPDC1B,993.3259407980432
C19orf12,-123822.3220056893
ZNF467,122640.73464359957
FAM203A,112640.47540441796
TONSL,48393.6820405235
LAMP5,-77742.96715511443
E2F1,108451.51547644996
MAD2L1,109345.83192504791
STRA13,100989.64147855497
TOMM40,-42904.59007537604
CENPI,9540.060989710137
SGCE,-218452.5943659272
RHPN1,279161.9481703311
C19orf40,2855.4095959149604
TMCC3,-125712.99754153297
ADAM8,-345071.97157447936
CDK1,90815.68450630305
FNIP2,-147708.08347398706
FANCI,291993.6880684701
CENPE,78928.05726116519
PNPLA7,51456.428639970756
IRF7,-181631.6916035662
CENPK,15682.512265212994
LMNB2,-190506.52025120248
COL5A1,-6537317.024619437
CKAP2,23589.75633918158
AMY2B,-25730.4989945638
ZNF219,-975.0602295300916
KRT19,15041749.297286734
BCL2L12,-50205.7604963694
C3,-15113731.259382324
B4GALNT4,151908.49354953083
EXOSC4,25183.62378981801
MCM2,172905.24333276803
C14orf80,17614.40226410733
DPP4,-264137.19915517553
FBLN1,-3063848.539443079
FBLN2,-2595274.139474008
TCF4,-1046347.0606850612
MMP11,-3659960.9926435654
PRSS8,1417377.885460594
FOXO6,21170.147771282438
TTYH3,-1193327.26169701
EPCAM,972176.2759891894
ADM,-118938.95643226609
RASA4,-200300.02417741556
EVPL,229112.34762251464
DDX39A,-193169.22071336128
DZIP1L,-30877.368036785538
SEMA6A,24268.464400251167
KIF26B,-416532.3770989928
EXO1,22100.538317754337
CEP85L,-72976.67285467025
TMEM54,166845.64622727747
ANKRD36C,-15452.173609535283
ARHGAP21,-305390.6506507382
GPRIN1,38677.81563535523
PDLIM3,-253154.16704545318
SDS,-143172.1814364288
ZACN,144837.89894099545
POLE2,23883.37042675209
FP15737,-101231.5872885222
PLK4,22536.03810729646
C9orf116,65272.02491896661
